class,precision,recall,f1-score,accuracy,precision CI,recall CI,f1-score CI,accuracy CI,support,Prompt ID
Human-non-RCT-non-drug-intervention,0.329,0.643,0.435,0.869,"(0.237, 0.437)","(0.492, 0.77)","(0.326, 0.545)","(0.838, 0.895)",42,P2_HIERARCHY
Human-non-RCT-drug-intervention,0.5,0.417,0.455,0.933,"(0.332, 0.668)","(0.271, 0.578)","(0.305, 0.604)","(0.908, 0.951)",36,P2_HIERARCHY
Human-case-report,0.4,0.97,0.566,0.908,"(0.3, 0.51)","(0.847, 0.995)","(0.457, 0.675)","(0.881, 0.93)",33,P2_HIERARCHY
Animal-other,0.524,0.71,0.603,0.946,"(0.377, 0.666)","(0.534, 0.839)","(0.47, 0.736)","(0.923, 0.962)",31,P2_HIERARCHY
Animal-drug-intervention,0.769,0.667,0.714,0.97,"(0.579, 0.89)","(0.488, 0.808)","(0.579, 0.849)","(0.952, 0.981)",30,P2_HIERARCHY
Human-systematic-review,0.633,0.864,0.731,0.974,"(0.455, 0.781)","(0.667, 0.953)","(0.594, 0.867)","(0.956, 0.984)",22,P2_HIERARCHY
In-vitro-study,0.458,0.524,0.489,0.957,"(0.279, 0.649)","(0.324, 0.717)","(0.309, 0.668)","(0.936, 0.971)",21,P2_HIERARCHY
Human-RCT-non-drug-intervention,0.609,0.778,0.683,0.976,"(0.408, 0.778)","(0.548, 0.91)","(0.519, 0.847)","(0.959, 0.986)",18,P2_HIERARCHY
Animal-non-drug-intervention,0.857,0.75,0.8,0.989,"(0.601, 0.96)","(0.505, 0.898)","(0.642, 0.958)","(0.976, 0.995)",16,P2_HIERARCHY
Human-RCT-drug-intervention,0.583,0.933,0.718,0.979,"(0.388, 0.755)","(0.702, 0.988)","(0.558, 0.878)","(0.963, 0.988)",15,P2_HIERARCHY
Clinical-study-protocol,1.0,0.667,0.8,0.993,"(0.676, 1.0)","(0.391, 0.862)","(0.607, 0.993)","(0.981, 0.997)",12,P2_HIERARCHY
Human-RCT-non-intervention,0.667,0.182,0.286,0.981,"(0.208, 0.939)","(0.051, 0.477)","(-0.025, 0.596)","(0.966, 0.99)",11,P2_HIERARCHY
micro,0.551,0.551,0.551,,"(0.508, 0.593)","(0.508, 0.593)","(0.508, 0.593)",,534,P2_HIERARCHY
macro,0.625,0.629,0.585,,"(nan, nan)","(nan, nan)","(0.557, 0.612)",,534,P2_HIERARCHY
weighted avg,0.617,0.551,0.54,0.551,"(0.561, 0.655)","(0.507, 0.592)","(0.496, 0.585)","(0.507, 0.594)",534,P2_HIERARCHY
accuracy,0.551,0.551,0.551,0.551,"(0.507, 0.594)","(0.507, 0.594)","(0.507, 0.594)","(0.507, 0.594)",534,P2_HIERARCHY
